Befolkningsfremskrivning 2023 for hele landet efter herkomst, alder og tid;;;;;;;;
Enhed: Antal;;;;;;;;
;;2023;2024;2025;2026;2027;2028;2029
Indvandrere fra ikke-vestlige lande;0 år;183;118;76;76;76;76;76
;1 år;694;503;304;294;294;294;294
;2 år;1004;953;575;475;466;466;466
;3 år;1184;1220;754;706;608;601;601
;4 år;1281;1387;928;850;807;708;702
;5 år;1477;1432;1012;1018;939;898;799
;6 år;1630;1630;1030;1070;1077;996;958
;7 år;2135;1794;1181;1083;1124;1133;1051
;8 år;2685;2245;1279;1222;1128;1168;1179
;9 år;2835;2801;1707;1329;1275;1183;1223
;10 år;3021;2928;2196;1734;1370;1319;1230
;11 år;3078;3095;2354;2183;1731;1380;1332
;12 år;2995;3136;2470;2363;2197;1753;1413
;13 år;3167;3096;2527;2453;2345;2187;1752
;14 år;3118;3198;2487;2511;2433;2328;2175
;15 år;3023;3219;2635;2491;2514;2432;2326
;16 år;2917;3190;2696;2707;2563;2585;2500
;17 år;2831;3119;2632;2718;2731;2586;2608
;18 år;2792;3073;2561;2686;2766;2776;2631
;19 år;2573;2952;2577;2698;2818;2895;2903
;20 år;2767;2903;2711;2875;2995;3110;3185
;21 år;3174;3260;2940;3060;3209;3328;3439
;22 år;3857;3853;3277;3351;3455;3597;3713
;23 år;4410;4309;3745;3640;3716;3809;3946
;24 år;5172;4807;4348;4107;4033;4110;4196
;25 år;5732;5616;4927;4745;4506;4452;4529
;26 år;6246;6213;5730;5386;5171;4934;4895
;27 år;6863;6702;6333;6138;5795;5559;5325
;28 år;7474;7277;6753;6713;6491;6152;5903
;29 år;7549;7881;7270;7086;7023;6783;6452
;30 år;8461;7959;7722;7494;7276;7199;6951
;31 år;9078;8852;7687;7833;7575;7338;7256
;32 år;9734;9417;8412;7741;7861;7583;7336
;33 år;9990;10147;8889;8437;7773;7874;7586
;34 år;10287;10352;9600;8916;8471;7815;7905
;35 år;10170;10516;9752;9571;8907;8469;7825
;36 år;10328;10495;9859;9679;9508;8861;8429
;37 år;10435;10554;9742;9775;9601;9441;8807
;38 år;10343;10679;9778;9645;9673;9503;9351
;39 år;9983;10569;9852;9663;9540;9563;9396
;40 år;9683;10079;9719;9715;9525;9410;9428
;41 år;9124;9867;9325;9574;9577;9386;9278
;42 år;9119;9273;9107;9196;9437;9446;9255
;43 år;8374;9214;8599;8980;9076;9309;9323
;44 år;8249;8433;8575;8488;8857;8957;9184
;45 år;7866;8398;7924;8484;8401;8762;8867
;46 år;7646;7922;7868;7844;8388;8309;8663
;47 år;7504;7746;7483;7807;7775;8304;8228
;48 år;7552;7608;7268;7420;7738;7699;8216
;49 år;7172;7611;7203;7222;7370;7684;7639
;50 år;7193;7261;7249;7184;7203;7350;7658
;51 år;6630;7287;6885;7212;7144;7166;7309
;52 år;7339;6750;6937;6851;7175;7106;7126
;53 år;6918;7394;6398;6901;6815;7136;7065
;54 år;6987;6959;7059;6365;6862;6775;7092
;55 år;6459;7048;6702;7020;6331;6822;6734
;56 år;6406;6479;6738;6666;6980;6298;6781
;57 år;6341;6404;6179;6684;6613;6926;6249
;58 år;6224;6337;6133;6137;6635;6565;6876
;59 år;5732;6232;6074;6089;6093;6584;6516
;60 år;5569;5821;5949;6033;6049;6051;6537
;61 år;4976;5585;5454;5904;5987;6003;6005
;62 år;5063;5016;5242;5418;5863;5946;5961
;63 år;4310;5113;4654;5199;5375;5815;5897
;64 år;4023;4300;4741;4610;5151;5327;5761
;65 år;3577;4036;4003;4693;4567;5102;5278
;66 år;3521;3612;3721;3956;4638;4518;5046
;67 år;3202;3511;3293;3672;3906;4580;4465
;68 år;2827;3192;3202;3245;3619;3853;4519
;69 år;2523;2849;2925;3156;3201;3570;3803
;70 år;2354;2501;2562;2874;3103;3148;3512
;71 år;1968;2345;2311;2514;2821;3048;3094
;72 år;1987;1968;2134;2267;2466;2769;2993
;73 år;1771;1995;1762;2087;2220;2416;2714
;74 år;1662;1754;1802;1721;2040;2172;2364
;75 år;1458;1626;1574;1758;1680;1993;2122
;76 år;1319;1442;1490;1531;1711;1637;1943
;77 år;1194;1280;1309;1444;1485;1663;1591
;78 år;959;1158;1171;1263;1397;1438;1610
;79 år;891;926;1076;1128;1218;1347;1389
;80 år;787;880;854;1029;1079;1167;1292
;81 år;675;758;792;815;982;1031;1116
;82 år;626;641;687;749;772;931;978
;83 år;537;586;578;646;704;725;876
;84 år;473;507;526;539;603;659;679
;85 år;379;447;435;486;498;557;609
;86 år;301;350;381;397;444;455;509
;87 år;276;278;293;345;357;400;411
;88 år;189;246;227;260;307;318;357
;89 år;175;167;208;198;228;269;279
;90 år;138;148;138;178;169;195;232
;91 år;113;115;119;116;149;142;164
;92 år;108;95;94;97;95;123;117
;93 år;61;86;72;75;78;76;100
;94 år;51;47;68;56;60;61;61
;95 år;36;39;35;52;43;46;48
;96 år;20;26;28;26;38;31;35
;97 år;28;14;18;20;19;27;23
;98 år;15;19;10;12;14;13;19
;99 år;11;10;13;7;8;10;9
;100 år;5;7;6;8;4;5;6
;101 år;6;3;4;3;4;2;4
;102 år;5;3;1;2;2;2;1
;103 år;1;2;1;1;1;1;1
;104 år;0;0;1;1;0;1;0
;105 år og derover;1;0;0;1;1;0;0